nohup: ignoring input

> rest-express@1.0.0 dev
> NODE_ENV=development tsx server/index.ts

No Mistral API key provided. Please set MISTRAL_API_KEY environment variable.
Loaded agent configurations: [
  'refinador',
  'analista de dados',
  'product manager',
  'qa',
  'scrum master',
  'tech lead',
  'ux designer',
  'pm'
]
11:01:58 PM [express] serving on port 5000
11:02:27 PM [express] GET /api/health 200 in 20ms
Browserslist: browsers data (caniuse-lite) is 12 months old. Please run:
  npx update-browserslist-db@latest
  Why you should do it regularly: https://github.com/browserslist/update-db#readme
11:02:31 PM [express] GET /api/health 200 in 5ms
11:02:35 PM [express] GET /api/health 200 in 4ms
11:02:38 PM [express] GET /api/health 200 in 4ms
11:02:42 PM [express] GET /api/health 200 in 4ms
11:02:45 PM [express] GET /api/health 200 in 5ms
11:02:48 PM [express] GET /api/health 200 in 3ms
11:02:50 PM [express] GET /api/health 200 in 4ms
11:02:55 PM [express] GET /api/health 200 in 6ms
11:02:58 PM [express] GET /api/health 200 in 4ms
11:03:00 PM [express] GET /api/health 200 in 3ms
11:03:04 PM [express] GET /api/health 200 in 4ms
11:03:07 PM [express] GET /api/health 200 in 2ms
11:03:10 PM [express] GET /api/health 200 in 2ms
11:03:12 PM [express] GET /api/health 200 in 4ms
11:03:15 PM [express] GET /api/health 200 in 4ms
11:03:18 PM [express] GET /api/health 200 in 3ms
11:03:21 PM [express] GET /api/health 200 in 3ms
11:03:32 PM [express] GET /api/health 200 in 3ms
11:03:35 PM [express] GET /api/health 200 in 2ms
11:03:37 PM [express] GET /api/health 200 in 3ms
11:03:39 PM [express] GET /api/health 200 in 3ms
11:03:42 PM [express] GET /api/health 200 in 3ms
11:03:45 PM [express] GET /api/health 200 in 2ms
11:03:48 PM [express] GET /api/health 200 in 2ms
11:03:50 PM [express] GET /api/health 200 in 4ms
11:03:53 PM [express] GET /api/health 200 in 3ms
11:03:55 PM [express] GET /api/health 200 in 3ms
11:04:00 PM [express] GET /api/health 200 in 5ms
11:04:13 PM [express] GET /api/health 200 in 3ms
11:04:15 PM [express] GET /api/health 200 in 2ms
11:04:17 PM [express] GET /api/health 200 in 3ms
11:04:22 PM [express] GET /api/health 200 in 2ms
11:04:24 PM [express] GET /api/health 200 in 2ms
11:04:27 PM [express] GET /api/health 200 in 3ms
11:04:30 PM [express] GET /api/health 200 in 3ms
11:04:32 PM [express] GET /api/health 200 in 3ms
11:04:35 PM [express] GET /api/health 200 in 3ms
11:04:37 PM [express] GET /api/health 200 in 3ms
11:04:39 PM [express] GET /api/health 200 in 2ms
11:04:42 PM [express] GET /api/health 200 in 3ms
11:04:45 PM [express] GET /api/health 200 in 3ms
11:04:47 PM [express] GET /api/health 200 in 3ms
11:04:50 PM [express] GET /api/health 200 in 2ms
11:04:52 PM [express] GET /api/health 200 in 3ms
11:04:55 PM [express] GET /api/health 200 in 4ms
11:04:57 PM [express] GET /api/health 200 in 4ms
11:04:59 PM [express] GET /api/health 200 in 4ms
11:05:02 PM [express] GET /api/health 200 in 2ms
11:05:04 PM [express] GET /api/health 200 in 2ms
11:05:07 PM [express] GET /api/health 200 in 2ms
11:05:09 PM [express] GET /api/health 200 in 3ms
11:05:12 PM [express] GET /api/health 200 in 2ms
11:05:14 PM [express] GET /api/health 200 in 4ms
11:05:17 PM [express] GET /api/health 200 in 3ms
11:05:19 PM [express] GET /api/health 200 in 3ms
11:05:22 PM [express] GET /api/health 200 in 3ms
11:05:24 PM [express] GET /api/health 200 in 3ms
11:05:26 PM [express] GET /api/health 200 in 3ms
11:05:29 PM [express] GET /api/health 200 in 3ms
11:05:35 PM [express] GET /api/health 200 in 3ms
11:05:38 PM [express] GET /api/health 200 in 3ms
11:05:40 PM [express] GET /api/health 200 in 2ms
11:05:43 PM [express] GET /api/health 200 in 3ms
11:05:45 PM [express] GET /api/health 200 in 2ms
11:05:48 PM [express] GET /api/health 200 in 3ms
11:05:50 PM [express] GET /api/health 200 in 2ms
11:05:52 PM [express] GET /api/health 200 in 3ms
11:05:55 PM [express] GET /api/health 200 in 2ms
11:05:57 PM [express] GET /api/health 200 in 3ms
11:06:00 PM [express] GET /api/health 200 in 3ms
11:06:03 PM [express] GET /api/health 200 in 4ms
11:06:05 PM [express] GET /api/health 200 in 3ms
